geneSymbol,cellName,tissueType,cellType
LAMC2,Bone marrow stromal cell,Bone marrow,Normal cell
PSCA,Early transit-amplifying prostate epithelial cell,Prostate,Normal cell
CD1 family,Langerhans cell,Skin,Normal cell
Cytokeratin family,Trophoblast cell,Placenta,Normal cell
DNTT,T cell,Undefined,Cancer cell
S100 family,Glial cell,Brain,Normal cell
MT1 family,T cell,Undefined,Normal cell
UCH family,T cell,Undefined,Normal cell
MB2 family,B cell,Undefined,Normal cell
TF,Sertoli cell,Seminal plasma,Normal cell
FPR1,Neutrophil,Peripheral blood,Normal cell
SMAD1,Basophil,Blood,Cancer cell
Chromogranin family,Endocrine cell,Duodenum,Normal cell
HPRT1,Lymphoid stem cell,Peripheral blood,Normal cell
ENO2,Neuroendocrine cell,Fetal pancreas,Normal cell
KRT13,Epithelial cell,Undefined,Normal cell
CDH1,Cancer cell,Blood,Cancer cell
Keratins family,Cancer cell,Blood,Cancer cell
KLK3,Cancer cell,Blood,Cancer cell
CSF3R,Lymphoid-primed multipotent progenitor,Bone marrow,Normal cell
PAX8,Cancer cell,Ovary,Cancer cell
WT1,Cancer cell,Ovary,Cancer cell
CLDN4,Endothelial cell,Ovary,Normal cell
DSP,Endothelial cell,Ovary,Normal cell
OCLN,Endothelial cell,Ovary,Normal cell
FN1,Mesenchymal cell,Ovary,Normal cell
MMP2,Mesenchymal cell,Ovary,Normal cell
S100A4,Mesenchymal cell,Ovary,Normal cell
SNAI2,Mesenchymal cell,Ovary,Normal cell
TWIST1,Mesenchymal cell,Ovary,Normal cell
WNT5A,Mesenchymal cell,Ovary,Normal cell
ZEB1,Mesenchymal cell,Ovary,Normal cell
ZEB2,Mesenchymal cell,Ovary,Normal cell
LYZ,Macrophage,Peripheral blood,Normal cell
LTB,CD4+ T cell,Peripheral blood,Normal cell
NKG7,CD8+ T cell,Peripheral blood,Normal cell
PRDM1,Germ cell,Embryo,Normal cell
TFAP2C,Germ cell,Embryo,Normal cell
BMP15,Germ cell,Embryo,Normal cell
NLRP5,Germ cell,Embryo,Normal cell
ZAR1,Germ cell,Embryo,Normal cell
ACE,Hematopoietic stem cell,Embryo,Normal cell
LEFTY2,Embryonic stem cell,Embryo,Normal cell
ZFP42,Embryonic stem cell,Embryo,Normal cell
TERT,Embryonic stem cell,Embryo,Normal cell
LIN28A,Embryonic stem cell,Embryo,Normal cell
APBB1,Neuron,Embryo,Normal cell
ACTN1,Cardiomyocyte,Heart,Normal cell
TNNI3,Cardiomyocyte,Heart,Normal cell
TNNT2,Cardiomyocyte,Heart,Normal cell
GJA1,Cardiomyocyte,Heart,Normal cell
MYH6,Cardiomyocyte,Heart,Normal cell
IAPP,Beta cell,Pancreas,Normal cell
NKX6-1,Beta cell,Pancreas,Normal cell
POU2AF1,B cell,Lymph node,Normal cell
POU2F2,B cell,Lymph node,Normal cell
PAX7,Muscle satellite cell,Muscle,Normal cell
CD82,Muscle satellite cell,Muscle,Normal cell
SST,Delta cell,Pancreas,Normal cell
SV2A,Neuroendocrine cell,Pancreas,Normal cell
TIE1,Endothelial cell,Blood vessel,Normal cell
ALP,Stem cell,Blood vessel,Normal cell
KCNN4,Cancer cell,Kidney,Normal cell
CLDN1,Epithelial cell,Kidney,Normal cell
PAX2,Epithelial cell,Kidney,Normal cell
TJP1,Epithelial cell,Kidney,Normal cell
TJP2,Epithelial cell,Kidney,Normal cell
ITGA8,Mesangial cell,Kidney,Normal cell
MMRN1,Proximal tubular cell,Kidney,Normal cell
ITK,Proximal tubular cell,Kidney,Normal cell
KRT5,Basal cell,Prostate,Normal cell
TAZ,Basal cell,Prostate,Cancer cell
TEAD1,Basal cell,Prostate,Normal cell
AR,Epithelial cell,Prostate,Normal cell
TACSTD2,Cancer stem cell,Prostate,Normal cell
ITGA3,Cancer stem cell,Prostate,Normal cell
FASN,Cancer cell,Ovary,Normal cell
FOXL2,Granulosa cell,Ovary,Normal cell
SPRR2 family,Granulosa cell,Ovary,Normal cell
ZP4,Germ cell,Ovary,Normal cell
NLRP9,Oocyte,Ovary,Normal cell
KRT17,Cytotrophoblast,Placenta,Normal cell
BMP6,Acinar cell,Salivary gland,Normal cell
Actin family,Myoepithelial cell,Salivary gland,Normal cell
ACTA1,Stem cell,Muscle,Normal cell
SMTN,Stem cell,Muscle,Normal cell
NOS3,Endothelial cell,Muscle,Normal cell
ADGRE1,Macrophage,Spleen,Normal cell
IL13,Eosinophil,Peripheral blood,Normal cell
IL5,Eosinophil,Peripheral blood,Normal cell
CXCL8,Eosinophil,Peripheral blood,Normal cell
IL4R,Eosinophil,Blood,Normal cell
IL5RA,Eosinophil,Blood,Normal cell
MMP14,Circulating fetal cell,Blood,Normal cell
GP9,Megakaryocyte,Peripheral blood,Normal cell
INHBB,Sertoli cell,Undefined,Normal cell
TSPO,M1 macrophage,Brain,Normal cell
MARK4,Neuron,Brain,Normal cell
PAX6,Stem cell,Brain,Normal cell
ECSCR,Endothelial cell,White adipose tissue,Normal cell
ICAM family,Endothelial cell,White adipose tissue,Normal cell
PPARGC1A,Mesenchymal stem cell,Brown adipose tissue,Normal cell
UCP1,Mesenchymal stem cell,Brown adipose tissue,Normal cell
LEP,Mesenchymal stem cell,White adipose tissue,Normal cell
CD70,Mesenchymal stem cell,Adipose tissue,Normal cell
GREM1,Stromal cell,Adipose tissue,Normal cell
LRRN4,Mesothelial cell,Undefined,Normal cell
UPK3B,Mesothelial cell,Undefined,Normal cell
ABCG5,Cancer stem cell,Lung,Cancer cell
SCGB1A1,Clara cell,Lung,Normal cell
CD1C,Dendritic cell,Lung,Normal cell
CLEC4C,Dendritic cell,Lung,Normal cell
PCX3CR1,Dendritic cell,Lung,Normal cell
PFLT3,Dendritic cell,Lung,Normal cell
CD1A,Dendritic cell,Lung,Cancer cell
MHC Class II,Dendritic cell,Lung,Normal cell
ESM1,Endothelial cell,Lung,Cancer cell
KLF8,Cancer stem cell,Liver,Cancer cell
USP22,Cancer stem cell,Undefined,Cancer cell
ALDH1L1,Astrocyte,Brain,Normal cell
NFIA,Astrocyte,Brain,Normal cell
S100B,Astrocyte,Brain,Normal cell
MBTPS2,Cancer cell,Brain,Cancer cell
HOXD9,Cancer stem cell,Brain,Cancer cell
SLC17A7,Glutamatergic neuron,Brain,Normal cell
SLC17A6,Glutamatergic neuron,Brain,Normal cell
ADGRG1,Neural stem cell,Brain,Normal cell
DCX,Neural stem cell,Brain,Normal cell
NEUROD1,Neural stem cell,Brain,Normal cell
DPYSL3,Neural stem cell,Brain,Normal cell
MPRIP,Purkinje cell,Brain,Normal cell
HMGB2,Neural stem cell,Hippocampus,Normal cell
TNFRSF4,Cancer stem cell,Colorectum,Cancer cell
PHLDA1,Intestinal epithelial stem cell,Intestine,Normal cell
IL9,Paneth cell,Intestine,Normal cell
RNASE3,Eosinophil,Lung,Normal cell
CLU,Sertoli cell,Testis,Normal cell
HSD3B,Leydig cell,Testis,Normal cell
KIF4A,Stem cell,Endometrium,Normal cell
ACAN,Chondrocyte,Cartilage,Normal cell
COMP,Chondrocyte,Cartilage,Normal cell
SPRR2A,Keratinocyte,Skin,Normal cell
THNSL2,Osteoclast,Bone,Normal cell
CTSK,Osteoclast,Bone,Normal cell
TNFRSF11A,Osteoclast,Bone,Normal cell
CALCR,Osteoclast,Bone,Normal cell
IBSP,Stem cell,Bone,Normal cell
OSX,Stem cell,Bone,Normal cell
NOTCH1,Stem cell,Eye,Normal cell
GNL3,Stem cell,Dental pulp,Normal cell
TAGLN2,Activated B cell,Peripheral blood,Normal cell
CLEC9A,Dendritic cell,Blood,Normal cell
RFTN1,Endothelial cell,Blood,Normal cell
STAB2,Endothelial cell,Liver,Normal cell
CD109,Hematopoietic cell,Liver,Normal cell
ALB,Hepatocyte,Liver,Normal cell
P49715,Hepatocyte,Liver,Normal cell
HNF4A,Hepatocyte,Liver,Normal cell
TAT,Hepatocyte,Liver,Normal cell
CPS1,Hepatocyte,Liver,Normal cell
ARG1,Hepatocyte,Liver,Normal cell
CYP3A4,Hepatocyte,Liver,Normal cell
ABCC2,Hepatocyte,Liver,Normal cell
CLEC4F,Kupffer cell,Liver,Normal cell
VSIG4,Kupffer cell,Liver,Normal cell
UBD,Stem cell,Liver,Normal cell
CD58,T cell,Liver,Normal cell
RBP1,Myofibroblast,Liver,Normal cell
KDM1A,Cancer stem cell,Breast,Cancer cell
ALDH1A3,Cancer stem cell,Breast,Cancer cell
PIP,Epithelial cell,Breast,Normal cell
LGALS7,Myoepithelial cell,Breast,Normal cell
AQP5,Type I pneumocyte,Undefined,Normal cell
PTPN13,Fibroblast,Lung,Normal cell
IL10,M2 macrophage,Undefined,Normal cell
CCL18,Macrophage,Lung,Normal cell
CCL2,Macrophage,Lung,Normal cell
IL1RN,Macrophage,Lung,Normal cell
CXCL10,M1 macrophage,Lung,Normal cell
RETNLB,Macrophage,Lung,Normal cell
ITGAE,CD8+ T cell,Lung,Normal cell
IRF5,Macrophage,Bone marrow,Normal cell
FCER1A,Mast cell,Bone marrow,Normal cell
BAALC,Progenitor cell,Bone marrow,Normal cell
IKZF2,Regulatory T (Treg) cell,Skin,Normal cell
IL2,T cell,Skin,Normal cell
LRIG1,Stem cell,Hair follicle,Normal cell
CD207,Langerhans cell,Skin,Normal cell
PHOX2A,Progenitor cell,Skin,Normal cell
AQP1,Endothelial cell,Fetal kidney,Normal cell
PLVAP,Endothelial cell,Fetal kidney,Normal cell
SEMA3G,Endothelial cell,Fetal kidney,Normal cell
SLC14A1,Endothelial cell,Fetal kidney,Normal cell
HLA-DRA,Monocyte,Fetal kidney,Normal cell
MNDA,Monocyte,Fetal kidney,Normal cell
S100A8,Monocyte,Fetal kidney,Normal cell
CTSW,Megakaryocyte,Fetal kidney,Normal cell
FYB1,Megakaryocyte,Fetal kidney,Normal cell
PLEK,Megakaryocyte,Fetal kidney,Normal cell
PPBP,Megakaryocyte,Fetal kidney,Normal cell
RAB27B,Megakaryocyte,Fetal kidney,Normal cell
RASGRP2,Megakaryocyte,Fetal kidney,Normal cell
SRGN,Megakaryocyte,Fetal kidney,Normal cell
IGHM,B cell,Kidney,Normal cell
SLC18A2,Mast cell,Kidney,Normal cell
JCHAIN,Plasmacytoid dendritic cell,Kidney,Normal cell
AQP2,Nephron epithelial cell,Kidney,Normal cell
ATP6V0D2,Nephron epithelial cell,Kidney,Normal cell
AVPR2,Nephron epithelial cell,Kidney,Normal cell
CLCNKB,Nephron epithelial cell,Kidney,Normal cell
CLDN16,Nephron epithelial cell,Kidney,Normal cell
CLDN8,Nephron epithelial cell,Kidney,Normal cell
KCNJ1,Nephron epithelial cell,Kidney,Normal cell
KRT23,Nephron epithelial cell,Kidney,Normal cell
PTPRO,Nephron epithelial cell,Kidney,Normal cell
SAA2,Nephron epithelial cell,Kidney,Normal cell
SLC12A1,Nephron epithelial cell,Kidney,Normal cell
SLC13A3,Nephron epithelial cell,Kidney,Normal cell
SLC16A9,Nephron epithelial cell,Kidney,Normal cell
SLC17A3,Nephron epithelial cell,Kidney,Normal cell
SLC22A7,Nephron epithelial cell,Kidney,Normal cell
SLC22A8,Nephron epithelial cell,Kidney,Normal cell
SLC26A4,Nephron epithelial cell,Kidney,Normal cell
SLC34A1,Nephron epithelial cell,Kidney,Normal cell
SLC4A1,Nephron epithelial cell,Kidney,Normal cell
SLC7A13,Nephron epithelial cell,Kidney,Normal cell
DHRS2,Urothelium cell,Kidney,Normal cell
S100P,Urothelium cell,Kidney,Normal cell
UPK1B,Urothelium cell,Kidney,Normal cell
PTPRB,Endothelial cell,Kidney,Normal cell
IL32,T helper cell,Kidney,Cancer cell
TRBC2,T helper cell,Kidney,Cancer cell
CD160,Natural killer cell,Kidney,Cancer cell
XCL1,Natural killer cell,Kidney,Cancer cell
XCL2,Natural killer cell,Kidney,Cancer cell
TPSB2,Mast cell,Kidney,Cancer cell
IRF8,Plasmacytoid dendritic cell,Kidney,Cancer cell
CCL5,CD8+ T cell,Kidney,Cancer cell
GZMK,CD8+ T cell,Kidney,Cancer cell
IGHA2,Plasma cell,Kidney,Cancer cell
IGHG3,Plasma cell,Kidney,Cancer cell
IGKC,Plasma cell,Kidney,Cancer cell
MZB1,Plasma cell,Kidney,Cancer cell
AHSP,Erythroblast,Kidney,Cancer cell
ALAS2,Erythroblast,Kidney,Cancer cell
CA1,Erythroblast,Kidney,Cancer cell
HBB,Erythroblast,Kidney,Cancer cell
HBE1,Erythroblast,Kidney,Cancer cell
GNLY,Natural killer T (NKT) cell,Kidney,Cancer cell
TRGC2,Natural killer T (NKT) cell,Kidney,Cancer cell
CA9,Cancer cell,Kidney,Cancer cell
NDUFA4L2,Cancer cell,Kidney,Cancer cell
ELF3,Cancer cell,Kidney,Cancer cell
HNF1B,Cancer cell,Kidney,Cancer cell
TNFRSF9,Activated T cell,Undefined,Normal cell
KLRG1,Activated T cell,Undefined,Normal cell
ADIPOQ,Fat cell (adipocyte),Adipose tissue,Normal cell
ADIPOR1,Fat cell (adipocyte),Adipose tissue,Normal cell
ADIPOR2,Fat cell (adipocyte),Adipose tissue,Normal cell
CIDEA,Fat cell (adipocyte),Adipose tissue,Normal cell
CLTCL1,Fat cell (adipocyte),Adipose tissue,Normal cell
DLK2,Fat cell (adipocyte),Adipose tissue,Normal cell
FABP4,Fat cell (adipocyte),Adipose tissue,Normal cell
SLC27A1,Fat cell (adipocyte),Adipose tissue,Normal cell
SLC27A2,Fat cell (adipocyte),Adipose tissue,Normal cell
SLC27A4,Fat cell (adipocyte),Adipose tissue,Normal cell
SLC27A5,Fat cell (adipocyte),Adipose tissue,Normal cell
SLC27A6,Fat cell (adipocyte),Adipose tissue,Normal cell
LGALS12,Fat cell (adipocyte),Adipose tissue,Normal cell
SLC2A4,Fat cell (adipocyte),Adipose tissue,Normal cell
PLIN2,Fat cell (adipocyte),Adipose tissue,Normal cell
PPARG,Fat cell (adipocyte),Adipose tissue,Normal cell
BSCL2,Fat cell (adipocyte),Adipose tissue,Normal cell
VSTM2A,Fat cell (adipocyte),Adipose tissue,Normal cell
VSTM2B,Fat cell (adipocyte),Adipose tissue,Normal cell
ZIC1,Fat cell (adipocyte),Adipose tissue,Normal cell
C5AR1,Astrocyte,Brain,Normal cell
SLC1A3,Astrocyte,Undefined,Normal cell
SLC1A2,Astrocyte,Undefined,Normal cell
BCR,B cell,Undefined,Normal cell
CCR10,B cell,Undefined,Normal cell
CCR2,B cell,Undefined,Normal cell
IL12RB1,B cell,Undefined,Normal cell
TNFRSF13C,B cell,Undefined,Normal cell
CD79B,B cell,Undefined,Normal cell
IL13RA1,B cell,Undefined,Normal cell
IL21R,B cell,Undefined,Normal cell
TNFRSF13B,B cell,Undefined,Normal cell
TNFSF4,B cell,Undefined,Normal cell
LAMP1,Basophil,Undefined,Normal cell
IgE family,Basophil,Undefined,Normal cell
TLR1,Basophil,Undefined,Normal cell
TLR2,Basophil,Undefined,Normal cell
TLR6,Basophil,Undefined,Normal cell
TLR9,Basophil,Undefined,Normal cell
GATA2,Basophil,Undefined,Normal cell
CXCR1,Cancer stem cell,Undefined,Cancer cell
DLL4,Cancer stem cell,Undefined,Cancer cell
GLI2,Cancer stem cell,Undefined,Cancer cell
IL1A,Cancer stem cell,Undefined,Cancer cell
PON1,Cancer stem cell,Undefined,Cancer cell
PTEN,Cancer stem cell,Undefined,Cancer cell
TNFAIP3,Cancer stem cell,Undefined,Cancer cell
MAF,Cancer stem cell,Undefined,Cancer cell
CX3CL1,Cancer stem cell,Undefined,Cancer cell
EPAS1,Cancer stem cell,Undefined,Cancer cell
L1CAM,Cancer stem cell,Undefined,Cancer cell
CLEC12A,Cancer stem cell,Undefined,Cancer cell
MSI2,Cancer stem cell,Undefined,Cancer cell
NF2,Cancer stem cell,Undefined,Cancer cell
ASTL,Cancer stem cell,Undefined,Cancer cell
ETV2,Cardiac progenitor cell,Heart,Normal cell
GATA4,Cardiac progenitor cell,Heart,Normal cell
KITLG,Cardiac progenitor cell,Heart,Normal cell
TBX18,Cardiac progenitor cell,Heart,Normal cell
SGCA,Cardiomyocyte,Heart,Normal cell
NPPA,Cardiomyocyte,Heart,Normal cell
SGCB,Cardiomyocyte,Heart,Normal cell
BMP4,Cardiomyocyte,Heart,Normal cell
GJA4,Cardiomyocyte,Heart,Normal cell
GJA5,Cardiomyocyte,Heart,Normal cell
TDGF1,Cardiomyocyte,Heart,Normal cell
SGCE,Cardiomyocyte,Heart,Normal cell
FABP3,Cardiomyocyte,Heart,Normal cell
GATA6,Cardiomyocyte,Heart,Normal cell
HCN4,Cardiomyocyte,Heart,Normal cell
KCNJ2,Cardiomyocyte,Heart,Normal cell
LRG1,Cardiomyocyte,Heart,Normal cell
MEF2C,Cardiomyocyte,Heart,Normal cell
MYH7,Cardiomyocyte,Heart,Normal cell
MYH family,Cardiomyocyte,Heart,Normal cell
TBX5,Cardiomyocyte,Heart,Normal cell
TNNT3,Cardiomyocyte,Heart,Normal cell
PCM1,Cardiomyocyte,Undefined,Normal cell
TNFSF10,CD8+ cytotoxic T cell,Undefined,Normal cell
TNF,CD8+ cytotoxic T cell,Undefined,Normal cell
EOMES ,Central memory T cell,Undefined,Normal cell
TBX21,Central memory T cell,Undefined,Normal cell
ACHE,Cholinergic neuron,Undefined,Normal cell
SLC18A3,Cholinergic neuron,Undefined,Normal cell
CD1B,Conventional dendritic cell,Undefined,Normal cell
LY75,Conventional dendritic cell,Undefined,Normal cell
PDCD1LG2,Conventional dendritic cell,Undefined,Normal cell
APOE,Cytotoxic T cell,Undefined,Normal cell
GZMA,Cytotoxic T cell,Undefined,Normal cell
LTA,Cytotoxic T cell,Undefined,Normal cell
ADAM19,Dendritic cell,Undefined,Normal cell
LRP1,Dendritic cell,Undefined,Normal cell
CLIP1,Dendritic cell,Undefined,Normal cell
LAMP3,Dendritic cell,Undefined,Normal cell
CD302,Dendritic cell,Undefined,Normal cell
IL12RB2,Dendritic cell,Undefined,Normal cell
IL6,Dendritic cell,Undefined,Normal cell
IRF7,Dendritic cell,Undefined,Normal cell
TLR7,Dendritic cell,Undefined,Normal cell
SLC6A3,Dopaminergic neuron,Undefined,Normal cell
KCNJ6,Dopaminergic neuron,Undefined,Normal cell
LMX1B,Dopaminergic neuron,Undefined,Normal cell
NR4A2,Dopaminergic neuron,Undefined,Normal cell
TH,Dopaminergic neuron,Undefined,Normal cell
MESD,Mesoderm cell,Undefined,Normal cell
NCLN,Mesoderm cell,Undefined,Normal cell
EOMES,Effector memory T cell,Undefined,Normal cell
TPBG,Induced pluripotent stem cell,Undefined,Normal cell
ACVR1B,Induced pluripotent stem cell,Undefined,Normal cell
ACVR2B,Induced pluripotent stem cell,Undefined,Normal cell
KLF5,Induced pluripotent stem cell,Undefined,Normal cell
LEFTY1,Induced pluripotent stem cell,Undefined,Normal cell
TRIM71,Induced pluripotent stem cell,Undefined,Normal cell
SMAD2,Induced pluripotent stem cell,Undefined,Normal cell
STAT3,Induced pluripotent stem cell,Undefined,Normal cell
SUZ12,Induced pluripotent stem cell,Undefined,Normal cell
TBX2,Induced pluripotent stem cell,Undefined,Normal cell
TBX3,Induced pluripotent stem cell,Undefined,Normal cell
TEX19,Induced pluripotent stem cell,Undefined,Normal cell
THAP11,Induced pluripotent stem cell,Undefined,Normal cell
TRA-1-81,Induced pluripotent stem cell,Undefined,Normal cell
UTF1,Induced pluripotent stem cell,Undefined,Normal cell
VSIR,Induced pluripotent stem cell,Undefined,Normal cell
ZIC3,Induced pluripotent stem cell,Undefined,Normal cell
FZD5,Embryonic stem cell,Germ,Normal cell
APLN,Endothelial cell,Undefined,Normal cell
ACKR2,Endothelial cell,Blood vessel,Normal cell
CD248,Endothelial cell,Blood vessel,Normal cell
CLEC4M,Endothelial cell,Blood vessel,Normal cell
CD300LG,Endothelial cell,Blood vessel,Normal cell
CD93,Endothelial cell,Blood vessel,Normal cell
COLEC11,Endothelial cell,Blood vessel,Normal cell
COLEC12,Endothelial cell,Blood vessel,Normal cell
DCBLD2,Endothelial cell,Blood vessel,Normal cell
S1PR1,Endothelial cell,Blood vessel,Normal cell
S1PR3,Endothelial cell,Blood vessel,Normal cell
S1PR2,Endothelial cell,Blood vessel,Normal cell
S1PR4,Endothelial cell,Blood vessel,Normal cell
S1PR5,Endothelial cell,Blood vessel,Normal cell
EPOR,Endothelial cell,Blood vessel,Normal cell
ESAM,Endothelial cell,Blood vessel,Normal cell
FABP6,Endothelial cell,Blood vessel,Normal cell
IL1R1,Endothelial cell,Blood vessel,Normal cell
ITGB7,Endothelial cell,Blood vessel,Normal cell
TYMP,Endothelial cell,Blood vessel,Normal cell
STAB1,Endothelial cell,Blood vessel,Normal cell
PLXDC1,Endothelial cell,Blood vessel,Normal cell
ANTXR1,Endothelial cell,Blood vessel,Normal cell
THSD1,Endothelial cell,Blood vessel,Normal cell
THSD7A,Endothelial cell,Blood vessel,Normal cell
TNFRSF10B,Endothelial cell,Blood vessel,Normal cell
TNFRSF1A,Endothelial cell,Blood vessel,Normal cell
EGFL7,Endothelial cell,Blood vessel,Normal cell
AGGF1,Endothelial cell,Blood vessel,Normal cell
C3AR1,Eosinophil,Undefined,Normal cell
IL9R,Eosinophil,Undefined,Normal cell
CCR1,Eosinophil,Undefined,Normal cell
LGALS9,Eosinophil,Undefined,Normal cell
S100A9,Eosinophil,Undefined,Normal cell
SIGLEC10,Eosinophil,Undefined,Normal cell
SIGLEC8,Eosinophil,Undefined,Normal cell
YAP1,Epidermal stem cell,Skin,Normal cell
NOS2,Epithelial cell,Skin,Normal cell
KRT1,Epithelial cell,Undefined,Normal cell
KRT10,Epithelial cell,Undefined,Normal cell
KRT16,Epithelial cell,Undefined,Normal cell
KRT2,Epithelial cell,Undefined,Normal cell
KRT6A,Epithelial cell,Undefined,Normal cell
KRT6B,Epithelial cell,Undefined,Normal cell
SFTPB,Epithelial cell,Undefined,Normal cell
SFTPC,Epithelial cell,Undefined,Normal cell
SFTPD,Epithelial cell,Undefined,Normal cell
BIRC5,Epithelial cell,Undefined,Normal cell
ICOSLG,Follicular B cell,Undefined,Normal cell
EBF1,Follicular B cell,Undefined,Normal cell
FOXO1,Follicular B cell,Undefined,Normal cell
IKZF1,Follicular B cell,Undefined,Normal cell
GABBR2,GABAergic neuron,Undefined,Normal cell
GABBR1,GABAergic neuron,Undefined,Normal cell
SLC6A1,GABAergic neuron,Undefined,Normal cell
GAD2,GABAergic neuron,Undefined,Normal cell
GAD1,GABAergic neuron,Undefined,Normal cell
EGFR,Germ cell,Undefined,Normal cell
RBMY1A1,Germ cell,Undefined,Normal cell
TESMIN,Germ cell,Undefined,Normal cell
TEX101,Germ cell,Undefined,Normal cell
FABP9,Germ cell,Undefined,Normal cell
GAPDHS,Germ cell,Undefined,Normal cell
NR6A1,Germ cell,Undefined,Normal cell
KLF17,Germ cell,Undefined,Normal cell
MEA1,Germ cell,Undefined,Normal cell
PIWIL4,Germ cell,Undefined,Normal cell
SCARA5,Germ cell,Undefined,Normal cell
TDRD1,Germ cell,Undefined,Normal cell
TDRKH,Germ cell,Undefined,Normal cell
TEX11,Germ cell,Undefined,Normal cell
BACH2,Germinal center B cell,Undefined,Normal cell
